zip,total_pop,period1,period2,period3,delta2,delta3,delta1_rate,delta2_rate,delta3_rate
63005,17887,77,441,1286,364,845,4.30480237043663,20.349974842064068,47.241013026220166
63011,38436,94,684,2257,590,1573,2.4456238942657924,15.350192527838486,40.92517431574565
63017,41556,304,1004,2837,700,1833,7.315429781499663,16.844739628453173,44.10915391279237
63021,56233,219,1113,3655,894,2542,3.8945103409030284,15.898138103960308,45.204772998061635
63025,8387,79,332,1051,253,719,9.419339453916777,30.16573268153094,85.72791224514128
63026,22242,131,654,2181,523,1527,5.889758115277403,23.51407247549681,68.65389803075263
63031,47419,508,1468,3610,960,2142,10.713005335414074,20.245049452751008,45.171766591450684
63033,42991,541,1359,3200,818,1841,12.58402921541718,19.027238259170524,42.82291642436789
63034,17879,169,542,1374,373,832,9.452430225404104,20.86246434364338,46.53504110968175
63038,7077,27,133,419,106,286,3.8151759220008477,14.978098064151476,40.412604210823794
63040,8258,13,178,590,165,412,1.5742310486800677,19.980624848631628,49.89101477355292
63042,19443,129,484,1243,355,759,6.634778583551921,18.25849920279792,39.03718561950316
63043,22524,265,608,1536,343,928,11.765228201030013,15.228201030012432,41.20049724738057
63044,10536,104,357,872,253,515,9.870918754745633,24.01290812452544,48.88003037205771
63049,3463,0,24,114,24,90,0,6.930407161420733,25.98902685532775
63069,4885,0,184,104,184,-80,0,37.666325486182195,-16.37666325486182
63074,15234,100,332,964,232,632,6.564264145989235,15.229092818695024,41.48614940265196
63088,8376,28,191,689,163,498,3.342884431709647,19.4603629417383,59.45558739255014
63101,3307,19,95,205,76,110,5.745388569700635,22.98155427880254,33.26277592984579
63102,2201,10,92,161,82,69,4.543389368468878,37.2557928214448,31.349386642435256
63103,8307,90,198,485,108,287,10.834236186348862,13.001083423618635,34.549175394245815
63104,19913,128,425,1017,297,592,6.427961633104003,14.91487972681163,29.729322553106012
63105,18333,48,255,796,207,541,2.6182294223531337,11.291114383897888,29.509627447771777
63106,11409,132,267,530,135,263,11.569813305285301,11.83276360767815,23.051976509772985
63107,9490,89,202,464,113,262,9.378292939936776,11.9072708113804,27.608008429926237
63108,20704,225,521,1086,296,565,10.867465224111283,14.2967542503864,27.289412673879443
63109,26562,92,467,1507,375,1040,3.4635946088396956,14.1179128077705,39.15367818688352
63110,18208,77,362,1036,285,674,4.228910369068541,15.652460456942006,37.01669595782074
63111,21141,135,442,989,307,547,6.385696040868455,14.521545811456411,25.873894328555885
63112,18744,157,436,1008,279,572,8.3760136577038,14.884763124199745,30.516431924882628
63113,11371,205,375,717,170,342,18.028317650162695,14.950312197695894,30.076510421247033
63114,35487,234,825,2182,591,1357,6.593963986812072,16.653985966692026,38.23935525685462
63115,18213,169,391,815,222,424,9.279086366880799,12.189095700873002,23.28007467193763
63116,44290,328,994,2409,666,1415,7.40573492887785,15.03725445924588,31.948521110860238
63117,8978,47,227,603,180,376,5.235018935174872,20.049008687903765,41.880151481398975
63118,28324,172,568,1246,396,678,6.072588617426917,13.981076119192204,23.93729699195029
63119,34119,207,732,2280,525,1548,6.06700079134793,15.38732084762156,45.37061461355843
63120,8691,64,166,373,102,207,7.3639397077436435,11.73627890921643,23.817742492233343
63121,24634,235,609,1388,374,779,9.539660631647315,15.182268409515304,31.622960136396852
63122,38686,128,864,2646,736,1782,3.3086904823450345,19.024970273483945,46.06317530889727
63123,51130,235,1066,3833,831,2767,4.596127518091141,16.25268922354782,54.11695677684334
63124,10827,59,275,694,216,419,5.449339613928143,19.950124688279303,38.699547427726976
63125,33031,138,651,2294,513,1643,4.177893493990494,15.530864945051619,49.7411522509158
63126,14781,36,245,964,209,719,2.435559163791354,14.139774034233138,48.64352885461065
63127,4986,20,97,457,77,360,4.011231448054553,15.443241075010027,72.20216606498195
63128,29823,80,719,2400,639,1681,2.682493377594474,21.42641585353586,56.36589209670389
63129,53671,196,1202,4307,1006,3105,3.6518790408227906,18.74382813810065,57.85247153956513
63130,28909,166,582,1430,416,848,5.74215642187554,14.38998235843509,29.33342557680999
63131,17627,69,395,1310,326,915,3.914449424178817,18.494355250468033,51.909003233675605
63132,13427,80,315,836,235,521,5.958144038132122,17.502048112013107,38.80241304833544
63133,7336,78,174,420,96,246,10.632497273718649,13.086150490730644,33.533260632497274
63134,13525,185,429,951,244,522,13.67837338262477,18.040665434380774,38.59519408502773
63135,21869,172,485,1210,313,725,7.8650144039507985,14.312497142073255,33.15195024921121
63136,45411,559,1316,2766,757,1450,12.309792781484662,16.669969831098193,31.930589504745548
63137,20039,216,583,1229,367,646,10.778980987075203,18.31428714007685,32.23713758171565
63138,18582,243,588,1287,345,699,13.077171456247981,18.56635453664837,37.61704875686148
63139,21933,111,472,1347,361,875,5.0608671864314045,16.459216705421053,39.89422331646378
63140,276,6,19,29,13,10,21.73913043478261,47.10144927536232,36.231884057971016
63141,20550,120,474,1260,354,786,5.839416058394161,17.226277372262775,38.24817518248175
63143,9572,22,144,509,122,365,2.298370246552445,12.745507730881739,38.13205181780192
63144,8725,30,207,631,177,424,3.438395415472779,20.2865329512894,48.595988538681944
63146,30178,137,627,1842,490,1215,4.539730929816423,16.236993836569688,40.26111737026973
63147,9932,143,315,560,172,245,14.397905759162303,17.317760773258158,24.66774063632702
